Genome	sampleId
138	GCF_016950285.1_ASM1695028v1
139	GCF_016950275.1_ASM1695027v1
140	GCF_016950225.1_ASM1695022v1
141	GCF_016950195.1_ASM1695019v1
142	GCF_016950175.1_ASM1695017v1
143	GCF_016950155.1_ASM1695015v1
144	GCF_016950125.1_ASM1695012v1
145	GCF_016950085.1_ASM1695008v1
146	GCF_016950075.1_ASM1695007v1
147	GCF_016950015.1_ASM1695001v1
148	GCF_016949995.1_ASM1694999v1
149	GCF_016949975.1_ASM1694997v1
150	GCF_016949955.1_ASM1694995v1
151	GCF_016949935.1_ASM1694993v1
152	GCF_016949915.1_ASM1694991v1
153	GCF_016949885.1_ASM1694988v1
154	GCF_016949875.1_ASM1694987v1
155	GCF_016949855.1_ASM1694985v1
156	GCF_016949835.1_ASM1694983v1
157	GCF_016949795.1_ASM1694979v1
158	GCF_016949775.1_ASM1694977v1
159	GCF_016949735.1_ASM1694973v1
160	GCF_016949695.1_ASM1694969v1
161	GCF_016949705.1_ASM1694970v1
162	GCF_016949655.1_ASM1694965v1
163	GCF_016949595.1_ASM1694959v1
164	GCF_016949545.1_ASM1694954v1
165	GCF_016949525.1_ASM1694952v1
166	GCF_016949515.1_ASM1694951v1
167	GCF_016949435.1_ASM1694943v1
168	GCF_016949375.1_ASM1694937v1
169	GCF_016949355.1_ASM1694935v1
170	GCF_016949345.1_ASM1694934v1
171	GCF_016949335.1_ASM1694933v1
172	GCF_016949315.1_ASM1694931v1
173	GCF_016949295.1_ASM1694929v1
174	GCF_016949275.1_ASM1694927v1
175	GCF_016949255.1_ASM1694925v1
176	GCF_016949235.1_ASM1694923v1
177	GCF_016949215.1_ASM1694921v1
178	GCF_016949195.1_ASM1694919v1
179	GCF_016949155.1_ASM1694915v1
180	GCF_016949145.1_ASM1694914v1
181	GCF_016949135.1_ASM1694913v1
182	GCF_016949095.1_ASM1694909v1
183	GCF_016949085.1_ASM1694908v1
184	GCF_016949075.1_ASM1694907v1
185	GCF_016949055.1_ASM1694905v1
186	GCF_016949035.1_ASM1694903v1
187	GCF_016944615.1_ASM1694461v1
188	GCF_016944595.1_ASM1694459v1
189	GCF_016944555.1_ASM1694455v1
190	GCF_016944435.1_ASM1694443v1
191	GCF_016944315.1_ASM1694431v1
192	GCF_016944295.1_ASM1694429v1
193	GCF_016944275.1_ASM1694427v1
194	GCF_016944255.1_ASM1694425v1
195	GCF_016944235.1_ASM1694423v1
196	GCF_016864975.1_ASM1686497v1
197	GCF_016864935.1_ASM1686493v1
198	GCF_016742935.1_ASM1674293v1
199	GCF_016742895.1_ASM1674289v1
200	GCF_016742905.1_ASM1674290v1
201	GCA_016642095.1_ASM1664209v1
202	GCF_016415585.1_ASM1641558v1
203	GCF_016126895.1_ASM1612689v1
204	GCF_016107195.1_ASM1610719v1
205	GCF_016107185.1_ASM1610718v1
206	GCF_016107165.1_ASM1610716v1
207	GCF_016107125.1_ASM1610712v1
208	GCF_016107135.1_ASM1610713v1
209	GCF_016107095.1_ASM1610709v1
210	GCF_016107085.1_ASM1610708v1
211	GCF_016107065.1_ASM1610706v1
212	GCF_016107025.1_ASM1610702v1
213	GCF_016107035.1_ASM1610703v1
214	GCF_003990515.2_ASM399051v2
215	GCF_002920045.2_ASM292004v2
216	GCF_002921235.2_ASM292123v2
217	GCF_015709085.1_ASM1570908v1
218	GCF_015277635.1_ASM1527763v1
219	GCF_014946905.1_ASM1494690v1
220	GCF_014946865.1_ASM1494686v1
221	GCF_014946835.1_ASM1494683v1
222	GCF_014946845.1_ASM1494684v1
223	GCF_014946805.1_ASM1494680v1
224	GCF_014604455.1_ASM1460445v1
225	GCF_014164815.1_ASM1416481v1
226	GCF_014050115.1_ASM1405011v1
227	GCF_014042225.1_ASM1404222v1
228	GCF_013913645.1_ASM1391364v1
229	GCF_013913595.1_ASM1391359v1
230	GCF_013913605.1_ASM1391360v1
231	GCF_013913585.1_ASM1391358v1
232	GCF_013913555.1_ASM1391355v1
233	GCF_013488025.1_ASM1348802v1
234	GCF_013450045.1_ASM1345004v1
235	GCF_013449715.1_ASM1344971v1
236	GCF_013449685.1_ASM1344968v1
237	GCF_013449675.1_ASM1344967v1
238	GCF_013449655.1_ASM1344965v1
239	GCF_013449605.1_ASM1344960v1
240	GCF_013449535.1_ASM1344953v1
241	GCF_013449495.1_ASM1344949v1
242	GCF_013449485.1_ASM1344948v1
243	GCF_013449475.1_ASM1344947v1
244	GCF_013449415.1_ASM1344941v1
245	GCF_013449405.1_ASM1344940v1
246	GCF_013449395.1_ASM1344939v1
247	GCF_013449385.1_ASM1344938v1
248	GCF_013449375.1_ASM1344937v1
249	GCF_900195295.2_Pc0416_3
250	GCF_900195285.2_Pc0421_3
251	GCF_902167255.1_IPO1948_2
252	GCF_902143345.1_IPO1606_1
253	GCF_902143365.1_IPO3841_1
254	GCF_902143355.1_IPO3720_1
255	GCF_902143335.1_IPO3842_1
256	GCF_012427845.1_ASM1242784v1
257	GCF_011379045.1_ASM1137904v1
258	GCF_011378985.1_ASM1137898v1
259	GCF_011378965.1_ASM1137896v1
260	GCF_011378945.1_ASM1137894v1
261	GCF_009931535.1_ASM993153v1
262	GCF_009931215.1_ASM993121v1
263	GCF_009873295.1_ASM987329v1
264	GCF_005771575.1_ASM577157v1
265	GCF_005497185.1_ASM549718v1
266	GCF_004137795.1_ASM413779v1
267	GCF_004296765.1_ASM429676v1
268	GCF_004296725.1_ASM429672v1
269	GCF_004296685.1_ASM429668v1
270	GCF_004296715.1_ASM429671v1
271	GCF_004296675.1_ASM429667v1
272	GCF_004296665.1_ASM429666v1
273	GCF_004137785.1_ASM413778v1
274	GCF_003992745.1_ASM399274v1
275	GCF_003990525.1_ASM399052v1
276	GCF_003990505.1_ASM399050v1
277	GCF_003382645.2_ASM338264v2
278	GCF_003382655.2_ASM338265v2
279	GCF_003382595.2_ASM338259v2
280	GCF_003382585.2_ASM338258v2
281	GCF_003382625.2_ASM338262v2
282	GCF_003932035.1_ASM393203v1
283	GCF_003800545.1_ASM380054v1
284	GCF_003628735.1_ASM362873v1
285	GCF_003628715.1_ASM362871v1
286	GCF_003628695.1_ASM362869v1
287	GCF_003628675.1_ASM362867v1
288	GCF_003628655.1_ASM362865v1
289	GCF_003628635.1_ASM362863v1
290	GCF_003628615.1_ASM362861v1
291	GCF_003628595.1_ASM362859v1
292	GCF_003628575.1_ASM362857v1
293	GCF_003628025.1_ASM362802v1
294	GCF_003628015.1_ASM362801v1
295	GCF_003595135.1_ASM359513v1
296	GCF_003595125.1_ASM359512v1
297	GCF_003595115.1_ASM359511v1
298	GCF_003595065.1_ASM359506v1
299	GCF_003595055.1_ASM359505v1
300	GCF_003595035.1_ASM359503v1
301	GCF_003594995.1_ASM359499v1
